state,children_5_17,adults_18_plus
100000,0,2
Andaman & Nicobar Islands,13,1046
Andaman and Nicobar Islands,604,5583
Andhra Pradesh,321143,1974362
Arunachal Pradesh,5783,30660
Assam,84480,928098
BALANAGAR,0,2
Bihar,380023,4434327
Chandigarh,13133,70228
Chhatisgarh,0,4
Chhattisgarh,165207,1840227
Dadra & Nagar Haveli,32,203
Dadra and Nagar Haveli,1310,4723
Dadra and Nagar Haveli and Daman and Diu,306,3434
Daman & Diu,41,603
Daman and Diu,234,1318
Darbhanga,0,2
Delhi,175535,1263399
Goa,3275,31845
Gujarat,208474,1615853
Haryana,139314,1026826
Himachal Pradesh,19424,129790
Jaipur,0,2
Jammu & Kashmir,23,403
Jammu and Kashmir,57850,348926
Jharkhand,99376,1301813
Karnataka,264981,1430304
Kerala,61064,683888
Ladakh,1375,4360
Lakshadweep,170,1006
Madanapalle,0,2
Madhya Pradesh,407098,2505840
Maharashtra,273322,4781280
Manipur,41464,260085
Meghalaya,8426,78952
Mizoram,5302,36604
Nagaland,4314,32477
Nagpur,0,1
ODISHA,3,47
Odisha,145643,937594
Orissa,1853,26905
Pondicherry,607,6852
Puducherry,4089,21215
Punjab,56866,825029
Puttenahalli,0,1
Raja Annamalai Puram,0,1
Rajasthan,257224,2560391
Sikkim,1555,18785
Tamil Nadu,315638,1896590
Telangana,242259,1387649
Tripura,11791,126222
Uttar Pradesh,790308,7752020
Uttarakhand,49926,413711
Uttaranchal,0,5
WEST BENGAL,2,69
WESTBENGAL,0,57
West  Bengal,6,101
West Bangal,4,153
West Bengal,242549,3629623
West Bengli,0,3
West bengal,0,60
Westbengal,0,95
andhra pradesh,5,72
odisha,0,20
west Bengal,0,15
